지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),일 최심적설(cm)
108,서울,2021-11-21,10.4,5.9,1.9,74.4,
108,서울,2021-11-22,2.7,1.3,4.1,61.8,
108,서울,2021-11-23,-.6,,3.2,60.9,
108,서울,2021-11-24,4.1,0,1.9,64.3,
108,서울,2021-11-25,5.7,,2.2,55,
108,서울,2021-11-26,2.9,0,2.2,57.5,
108,서울,2021-11-27,3.4,,1.6,53,
108,서울,2021-11-28,5.1,,1.5,52.4,
108,서울,2021-11-29,7.6,,1.6,62,
108,서울,2021-11-30,5.7,27.2,3.7,80.4,
108,서울,2021-12-01,-1.3,,4.2,51.8,
108,서울,2021-12-02,1.3,.1,2.1,68.9,
108,서울,2021-12-03,1.9,.4,2.9,53.3,
108,서울,2021-12-04,1.4,,2,48.5,
108,서울,2021-12-05,2.9,,1.4,50.4,
108,서울,2021-12-06,5.4,,1.6,61.4,
108,서울,2021-12-07,6.8,,1.2,68.3,
108,서울,2021-12-08,6.7,,1.5,70,
108,서울,2021-12-09,6.5,,2.2,70.3,
108,서울,2021-12-10,7,.7,2.1,81.5,
108,서울,2021-12-11,6,,1.4,83.6,
108,서울,2021-12-12,1.2,,3.2,61.8,
108,서울,2021-12-13,-2.2,,2.3,43.8,
108,서울,2021-12-14,3.7,1.2,2,64.9,
108,서울,2021-12-15,7.2,2.1,1.7,84.8,
108,서울,2021-12-16,6.4,0,1.8,71.6,
108,서울,2021-12-17,-5.6,,4.6,50.5,
108,서울,2021-12-18,-5.7,2.8,2,64.1,4.4
108,서울,2021-12-19,-.8,.2,2,63.8,4.6
108,서울,2021-12-20,5.2,0,2.1,77.9,1.8
108,서울,2021-12-21,5.2,,2,70.9,
108,서울,2021-12-22,2.2,,1.7,47.4,
108,서울,2021-12-23,2.7,,1.4,53.5,
108,서울,2021-12-24,-.3,.2,2.6,65.3,
108,서울,2021-12-25,-11.7,,3.9,42.4,
108,서울,2021-12-26,-12.1,,3.1,43.5,
108,서울,2021-12-27,-7.6,0,1.7,60.9,
