구분,고급휘발유,보통휘발유,자동차용경유
2021년03월03일,1725.39,1484.45,1284.59
2021년03월04일,1727.38,1485.71,1285.76
2021년03월05일,1729.47,1487.79,1287.77
2021년03월06일,1731.91,1490.69,1290.65
2021년03월07일,1733.24,1492.40,1292.27
2021년03월08일,1735.71,1495.18,1295.18
2021년03월09일,1739.71,1498.95,1298.90
2021년03월10일,1742.21,1501.95,1301.82
2021년03월11일,1744.84,1504.22,1304.06
2021년03월12일,1746.42,1506.70,1306.43
2021년03월13일,1748.32,1509.97,1309.59
2021년03월14일,1750.43,1511.68,1311.17
2021년03월15일,1752.26,1514.35,1313.91
2021년03월16일,1755.45,1517.64,1317.11
2021년03월17일,1758.36,1520.36,1319.74
2021년03월18일,1759.72,1522.81,1322.18
2021년03월19일,1761.79,1524.98,1324.20
2021년03월20일,1763.13,1526.53,1325.69
2021년03월21일,1764.17,1527.40,1326.49
2021년03월22일,1764.70,1528.75,1327.95
2021년03월23일,1765.63,1530.34,1329.45
2021년03월24일,1766.59,1531.33,1330.32
2021년03월25일,1766.73,1531.90,1330.76
2021년03월26일,1766.94,1532.48,1331.16
2021년03월27일,1767.27,1532.94,1331.33
2021년03월28일,1767.65,1533.22,1331.45
2021년03월29일,1768.13,1533.50,1331.89
2021년03월30일,1768.58,1534.04,1332.27
2021년03월31일,1768.81,1534.27,1332.49
2021년04월01일,1769.14,1534.52,1333.10
2021년04월02일,1769.17,1534.68,1333.22
2021년04월03일,1769.12,1534.84,1333.29
2021년04월04일,1769.74,1534.93,1333.22
2021년04월05일,1769.94,1535.02,1333.54
2021년04월06일,1770.19,1535.07,1333.51
2021년04월07일,1770.46,1535.05,1333.43
2021년04월08일,1770.91,1535.04,1333.33
2021년04월09일,1771.18,1534.99,1333.30
2021년04월10일,1771.15,1534.90,1333.22
2021년04월11일,1771.34,1534.95,1333.08
2021년04월12일,1771.02,1534.97,1333.17
2021년04월13일,1770.97,1534.90,1333.17
2021년04월14일,1771.30,1534.79,1333.16
2021년04월15일,1771.17,1534.71,1332.98
2021년04월16일,1771.08,1534.64,1332.94
2021년04월17일,1771.23,1534.38,1332.46
2021년04월18일,1771.22,1534.35,1332.31
2021년04월19일,1771.28,1534.33,1332.43
2021년04월20일,1770.87,1534.26,1332.34
2021년04월21일,1770.91,1534.25,1332.45
2021년04월22일,1771.10,1534.21,1332.29
2021년04월23일,1771.16,1534.11,1332.19
2021년04월24일,1771.30,1534.04,1332.11
2021년04월25일,1771.40,1534.03,1331.97
2021년04월26일,1771.45,1534.03,1332.17
2021년04월27일,1770.92,1533.96,1332.05
2021년04월28일,1771.16,1533.93,1331.98
2021년04월29일,1770.91,1533.92,1331.98
2021년04월30일,1770.87,1533.93,1331.98
2021년05월01일,1772.20,1534.19,1331.99
2021년05월02일,1772.29,1534.27,1332.01
2021년05월03일,1772.45,1534.27,1332.18
2021년05월04일,1772.79,1534.28,1332.13
2021년05월05일,1772.71,1534.36,1332.17
2021년05월06일,1773.41,1534.55,1332.44
2021년05월07일,1773.53,1534.90,1332.66
2021년05월08일,1773.85,1535.33,1332.99
2021년05월09일,1774.57,1535.53,1332.96
2021년05월10일,1774.80,1536.10,1333.59
2021년05월11일,1776.65,1537.02,1334.55
2021년05월12일,1777.50,1537.73,1335.22
2021년05월13일,1778.94,1538.82,1336.23
2021년05월14일,1780.20,1539.99,1337.23
2021년05월15일,1781.16,1540.53,1337.59
2021년05월16일,1781.45,1540.93,1337.89
2021년05월17일,1782.04,1541.67,1338.79
2021년05월18일,1782.52,1542.60,1339.76
2021년05월19일,1783.56,1543.52,1340.52
2021년05월20일,1783.73,1544.19,1341.26
2021년05월21일,1784.48,1544.88,1342.01
2021년05월22일,1785.05,1545.57,1342.52
2021년05월23일,1785.22,1545.86,1342.66
2021년05월24일,1785.47,1546.47,1343.57
2021년05월25일,1785.56,1547.36,1344.41
2021년05월26일,1786.20,1548.28,1345.25
2021년05월27일,1787.09,1549.28,1346.23
2021년05월28일,1787.36,1550.19,1347.07
2021년05월29일,1788.09,1551.04,1347.96
2021년05월30일,1788.37,1551.52,1348.30
2021년05월31일,1788.88,1552.23,1349.20
2021년06월01일,1791.70,1554.21,1351.20
2021년06월02일,1792.50,1555.59,1352.56
2021년06월03일,1793.84,1556.98,1353.87
2021년06월04일,1794.30,1558.60,1355.45
2021년06월05일,1795.71,1560.26,1357.08
2021년06월06일,1796.63,1561.13,1357.87
2021년06월07일,1797.48,1562.72,1359.48
2021년06월08일,1799.54,1564.59,1361.39
2021년06월09일,1801.12,1566.31,1363.17
2021년06월10일,1802.80,1567.97,1364.75
2021년06월11일,1803.95,1569.83,1366.64
2021년06월12일,1806.20,1571.61,1368.50
2021년06월13일,1806.74,1572.53,1369.34
2021년06월14일,1807.31,1574.22,1371.18
2021년06월15일,1808.94,1576.08,1373.08
2021년06월16일,1811.48,1578.16,1375.20
2021년06월17일,1812.97,1580.15,1377.28
2021년06월18일,1813.88,1581.71,1378.80
2021년06월19일,1815.89,1583.18,1380.31
2021년06월20일,1816.34,1583.95,1380.93
2021년06월21일,1816.94,1585.42,1382.59
2021년06월22일,1819.43,1587.57,1384.76
2021년06월23일,1821.49,1589.45,1386.67
2021년06월24일,1823.37,1591.42,1388.67
2021년06월25일,1825.07,1593.50,1390.65
2021년06월26일,1826.67,1595.56,1392.56
2021년06월27일,1827.63,1596.67,1393.61
2021년06월28일,1828.35,1598.52,1395.65
2021년06월29일,1830.82,1601.06,1398.26
2021년06월30일,1832.66,1602.75,1399.91
2021년07월01일,1836.94,1605.96,1403.07
2021년07월02일,1838.98,1607.97,1405.02
2021년07월03일,1840.60,1609.95,1406.75
2021년07월04일,1841.32,1610.79,1407.44
2021년07월05일,1842.11,1612.37,1409.22
2021년07월06일,1844.04,1615.07,1411.79
2021년07월07일,1847.67,1617.77,1414.43
2021년07월08일,1849.47,1619.82,1416.46
2021년07월09일,1850.89,1621.64,1418.19
2021년07월10일,1852.53,1623.62,1420.08
2021년07월11일,1853.19,1624.60,1420.89
2021년07월12일,1853.72,1626.18,1422.60
2021년07월13일,1855.97,1628.33,1424.58
2021년07월14일,1858.25,1630.21,1426.35
2021년07월15일,1859.45,1631.74,1427.90
2021년07월16일,1861.12,1633.50,1429.58
2021년07월17일,1864.54,1634.76,1430.98
2021년07월18일,1865.17,1635.40,1431.48
2021년07월19일,1866.66,1636.67,1432.85
2021년07월20일,1868.72,1637.56,1433.65
2021년07월21일,1869.72,1638.06,1434.06
2021년07월22일,1870.79,1638.63,1434.65
2021년07월23일,1871.36,1639.13,1435.09
2021년07월24일,1872.46,1639.68,1435.50
2021년07월25일,1872.73,1640.03,1435.65
2021년07월26일,1872.93,1640.59,1436.35
2021년07월27일,1873.25,1641.11,1436.87
2021년07월28일,1873.57,1641.55,1437.31
2021년07월29일,1874.28,1642.03,1437.63
2021년07월30일,1874.97,1642.56,1438.13
2021년07월31일,1875.31,1643.05,1438.50
2021년08월01일,1876.79,1643.95,1439.18
2021년08월02일,1877.95,1644.60,1439.98
2021년08월03일,1878.39,1645.23,1440.57
2021년08월04일,1879.68,1645.75,1440.98
2021년08월05일,1880.18,1646.09,1441.30
2021년08월06일,1880.74,1646.72,1441.84
2021년08월07일,1881.12,1647.01,1441.98
2021년08월08일,1881.46,1647.13,1441.99
